person,category,type,description,text
Édith_Piaf,singer,A,French singer,"[""Édith Piaf (UK: , US: ; French: [edit pjaf] (listen); born Édith Giovanna Gassion, French: [edit dʒɔvana ɡasjɔ̃]; 19 December 1915 – 10 October 1963) was a French singer-songwriter, cabaret performer and film actress noted as France's national chanteuse and one of the country's most widely known international stars.Piaf's music was often autobiographical, and she specialized in chanson and torch ballads about love, loss and sorrow."", 'Her most widely known songs include ""La Vie en rose"" (1946), ""Non, je ne regrette rien"" (1960), ""Hymne à l\'amour"" (1949), ""Milord"" (1959), ""La Foule"" (1957), ""L\'Accordéoniste"" (1940), and ""Padam, padam..."" (1951).', ""Since her death in 1963, several biographies and films have studied her life, including 2007's Academy Award-winning La Vie en rose."", 'Piaf has become one of the most celebrated performers of the 20th century.', ""Despite numerous biographies, much of Piaf's life is unknown.""]"
Jacques_Brel,singer,A,Belgian singer-songwriter,"['Jacques Romain Georges Brel (French: [ʒɑk ʁɔmɛ̃ ʒɔʁʒ bʁɛl], listen ; 8 April 1929 – 9 October 1978) was a Belgian singer, songwriter, actor and director who composed and performed literate, thoughtful, and theatrical songs that generated a large, devoted following—initially in Belgium and France, later throughout the world.', 'He is considered a master of the modern chanson.', 'Although he recorded most of his songs in French and occasionally in Dutch, he became an influence on English-speaking songwriters and performers, such as Scott Walker, David Bowie, Alex Harvey, Marc Almond and Rod McKuen.', 'English translations of his songs were recorded by many performers, including: Bowie; Walker, Ray Charles; Judy Collins; John Denver; The Kingston Trio; Nina Simone; Shirley Bassey; Frank Sinatra and Andy Williams.Brel was a successful actor, appearing in 10 films.', ""He directed two films, one of which, Le Far West, was nominated for the Palme d'Or at the Cannes Film Festival in 1973.""]"
Serge_Gainsbourg,singer,A,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)","['Serge Gainsbourg (French: [sɛʁʒ ɡɛ̃sbuʁ] (listen); born Lucien Ginsburg; 2 April 1928 – 2 March 1991) was a French musician, singer-songwriter, author, filmmaker and actor.', 'Regarded as the most important figure in French pop whilst alive, he was renowned for often provocative and scandalous releases which caused uproar in France, dividing its public opinion, as well as his diverse artistic output, which ranged from his early work in jazz, chanson, and yé-yé to later efforts in rock, funk, reggae, and electronica.', ""Gainsbourg's varied musical style and individuality make him difficult to categorize, although his legacy has been firmly established and he is often regarded as one of the world's most influential popular musicians.His lyrical works incorporated wordplay, with humorous, bizarre, provocative, sexual, satirical or subversive overtones, including sophisticated rhymes, mondegreen, onomatopoeia, spoonerism, dysphemism, paraprosdokian, and pun."", 'Gainsbourg wrote over 550 songs, which have been covered more than 1,000 times by a range of artists.', ""Since his death from a second heart attack in 1991, Gainsbourg's music has reached legendary stature in France, and he is regarded as one of France's greatest ever musicians and one of the country's most popular and endeared public figures.""]"
Renaud,singer,A,"French singer, songwriter and actor","['Renaud Pierre Manuel Séchan  (French pronunciation: \u200b[ʁəno pjɛʁ manɥɛl seʃɑ̃]), known as Renaud (, French: [ʁəno] (listen); born 11 May 1952), is a popular French singer, songwriter and actor.', ""His characteristically 'broken' voice makes for a very distinctive vocal style."", 'Several of his songs are popular classics in France, including the sea tale ""Dès que le vent soufflera"", the irreverent ""Laisse béton"", the ballad ""Morgane de toi"" and the nostalgic ""Mistral gagnant"".', 'However, with the exception of a recording of ""Miss Maggie"" in English and a franglais recording of ""It is not because you are"", his work is little known outside the French-speaking world.', 'Fresh out of school, Renaud was determined to become an actor.']"
Madonna,singer,A,American singer and songwriter,"['Madonna Louise Ciccone (; Italian: [tʃikˈkoːne]; born August 16, 1958) is an American singer, songwriter, and actress.', 'Referred to as the ""Queen of Pop"", she is regarded as one of the most significant figures in popular culture.', 'Madonna is noted for her continual reinvention and versatility in music production, songwriting, and visual presentation.', 'She is also known for pushing the boundaries of artistic expression in mainstream music while remaining completely in charge of every aspect of her career.', 'Her works, which incorporate social, political, sexual, and religious themes, have generated both critical acclaim and controversy.']"
Ella_Fitzgerald,singer,A,American jazz singer,"['Ella Jane Fitzgerald  (April 25, 1917 – June 15, 1996) was an American jazz singer, sometimes referred to as the First Lady of Song, Queen of Jazz, and Lady Ella.', 'She was noted for her purity of tone, impeccable diction, phrasing, timing, intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.', 'After a tumultuous adolescence, Fitzgerald found stability in musical success with the Chick Webb Orchestra, performing across the country but most often associated with the Savoy Ballroom in Harlem.', 'Her rendition of the nursery rhyme ""A-Tisket, A-Tasket"" helped boost both her and Webb to national fame.', 'After taking over the band when Webb died, Fitzgerald left it behind in 1942 to start her solo career.']"
Louis_Armstrong,singer,A,"American jazz trumpeter, composer and singer","['Louis Daniel Armstrong (August 4, 1901 – July 6, 1971), nicknamed ""Satchmo"", ""Satch"", and ""Pops"", was an American trumpeter and vocalist who was among the most influential figures in jazz.', 'His career spanned five decades and different eras in the history of jazz.Armstrong was born and raised in New Orleans.', 'Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance.', 'Around 1922, he followed his mentor, Joe ""King"" Oliver, to Chicago to play in the Creole Jazz Band.', 'In Chicago, he spent time with other popular jazz musicians, reconnecting with his friend Bix Beiderbecke and spending time with Hoagy Carmichael and Lil Hardin.']"
Kim_Wilde,singer,A,English pop singer,"['Kim Wilde (born Kim Smith, 18 November 1960) is an English pop singer, DJ and television presenter.', 'She first saw success in 1981 with her debut single ""Kids in America"", which reached number two in the UK.', 'In 1983, she received the Brit Award for Best British Female solo artist.', 'In 1986, she had a UK number two hit with a reworked version of the Supremes\' song ""You Keep Me Hangin\' On"", which also topped the US Billboard Hot 100 in 1987.', 'Between 1981 and 1996, she had 25 singles reach the Top 50 of the UK singles chart.']"
Daniel_Balavoine,singer,A,French recording artist; singer-songwriter,"['Daniel Balavoine (5 February 1952 – 14 January 1986) was a French singer and songwriter.', 'He was hugely popular in the French-speaking world, and inspired many singers in the 1980s, such as Jean-Jacques Goldman, Michel Berger, who was his closest friend, and the Japanese pop-rock group Crystal King; he was also a part of the original cast of the rock opera Starmania in 1978, which was written by Berger.', 'He took part in French political life and is known for a 1980 televised verbal confrontation with then-presidential candidate François Mitterrand.', 'In the French music-business, Balavoine earned his own place with his powerful voice, his wide range, and his lyrics, which were full of sadness and revolt.', 'He was emphatic, and his songs dealt in themes of despair, pain, and death, although hope was present as well.']"
Barbara_(singer),singer,A,French recording artist; singer-songwriter,"['Monique Andrée Serf (9 June 1930 – 24 November 1997) was a French singer.', 'She took her stage name, Barbara, from her grandmother, Varvara Brodsky, a native of Odessa, Russian Empire (now Ukraine).', 'Her song ""L\'Aigle noir"" sold 1 million copies in twelve hours.', 'Born in Paris to a Jewish family, Barbara was ten years old when she had to go into hiding during the German occupation of France in World War II.', 'After the war ended, a neighborhood professor of music heard her sing and took an interest in helping her develop her talents.']"
Chet_Baker,singer,A,American jazz trumpeter and vocalist (1929-1988),"['Chesney Henry ""Chet"" Baker Jr. (December 23, 1929 – May 13, 1988) was an American jazz trumpeter and vocalist.', 'He is known for major innovations within the cool jazz subgenre leading him to be nicknamed the ""prince of cool"".Baker earned much attention and critical praise through the 1950s, particularly for albums featuring his vocals (Chet Baker Sings, It Could Happen to You).', 'Jazz historian Dave Gelly described the promise of Baker\'s early career as ""James Dean, Sinatra, and Bix, rolled into one.""', 'His well-publicized drug habit also drove his notoriety and fame.', 'Baker was in and out of jail frequently before enjoying a career resurgence in the late 1970s and 1980s.']"
Paul_McCartney,singer,A,"English singer-songwriter, bassist of The Beatles","['Sir James Paul McCartney  (born 18 June 1942) is an English singer, songwriter, musician, and record and film producer who gained worldwide fame as co-lead vocalist and bassist for the Beatles.', 'His songwriting partnership with John Lennon remains the most successful in history.', 'After the group disbanded in 1970, he pursued a solo career and formed the band Wings with his first wife, Linda, and Denny Laine.', 'A self-taught musician, McCartney is proficient on bass, guitar, keyboards, and drums.', 'He is known for his melodic approach to bass-playing (mainly playing with a plectrum), his versatile and wide tenor vocal range (spanning over four octaves), and his eclecticism (exploring styles ranging from pre-rock and roll pop to classical and electronica).']"
Ringo_Starr,singer,A,"British musician, drummer for the Beatles","['Sir Richard Starkey  (born 7 July 1940), better known by his stage name Ringo Starr, is an English musician, singer, songwriter and actor who achieved international fame during the 1960s as the drummer for the Beatles.', 'He occasionally sang lead vocals with the group, usually for one song on each album, including ""Yellow Submarine"", ""With a Little Help from My Friends"" and their cover of ""Act Naturally"".', 'He also wrote and sang the Beatles\' songs ""Don\'t Pass Me By"" and ""Octopus\'s Garden"", and is credited as a co-writer of others.', 'Starr was afflicted by life-threatening illnesses during childhood, with periods of prolonged hospitalisation.', 'He briefly held a position with British Rail before securing an apprenticeship as a machinist at a Liverpool equipment manufacturer.']"
George_Harrison,singer,A,British musician and lead guitarist of the Beatles (1943-2001),"['George Harrison  (25 February 1943 – 29 November 2001) was an English musician, singer-songwriter, and music and film producer who achieved international fame as the lead guitarist of the Beatles.', 'Sometimes called ""the quiet Beatle"", Harrison embraced Indian culture and helped broaden the scope of popular music through his incorporation of Indian instrumentation and Hindu-aligned spirituality in the Beatles\' work.', ""Although the majority of the band's songs were written by John Lennon and Paul McCartney, most Beatles albums from 1965 onwards contained at least two Harrison compositions."", 'His songs for the group include ""Taxman"", ""Within You Without You"", ""While My Guitar Gently Weeps"", ""Here Comes the Sun"" and ""Something"".', ""Harrison's earliest musical influences included George Formby and Django Reinhardt; Carl Perkins, Chet Atkins and Chuck Berry were subsequent influences.""]"
Bruce_Willis,singer,A,American actor and film producer,"['Walter Bruce Willis (born March 19, 1955) is an American actor and film producer.', 'Born in Germany to a German mother and American father, Willis moved to the U.S. with his family when he was two years old.', 'His career began on the off-Broadway stage in the 1970s.', ""He achieved fame with a leading role on the comedy-drama series Moonlighting (1985–1989) and has since appeared in over 70 films, gaining widespread recognition as an action hero after his portrayal of John McClane in the Die Hard franchise (1988–2013) and other subsequent roles.Willis's other credits include Hudson Hawk (1991), Pulp Fiction (1994), 12 Monkeys (1995), Last Man Standing (1996), The Fifth Element (1997), Mercury Rising (1998), The Sixth Sense (1999), Unbreakable (2000), Tears of the Sun (2003), Hostage (2005), Over the Hedge (2006), Red (2010), Moonrise Kingdom (2012) and Glass (2019)."", 'As a singer, Willis released his debut album The Return of Bruno in 1987, followed by two more albums in 1989 and 2001.']"
Wilhelm_Grimm,writer,A,German author,"['Wilhelm Carl Grimm (also Karl; 24 February 1786 – 16 December 1859) was a German author and anthropologist, and the younger brother of Jacob Grimm, of the literary duo the Brothers Grimm.', 'Wilhelm was born in February 1786 in Hanau, in Hesse-Kassel.', 'In 1803, he started studying law at the University of Marburg, one year after his brother Jacob started there.', 'The two brothers spent their entire lives close together.', 'In their school days, they had one bed and one table in common; as students, they had two beds and two tables in the same room.']"
James_Joyce,writer,A,Irish novelist and poet,"['James Augustine Aloysius Joyce (2 February 1882 – 13 January 1941) was an Irish novelist, short story writer, poet, teacher, and literary critic.', 'He contributed to the modernist avant-garde movement and is regarded as one of the most influential and important writers of the 20th century.', ""Joyce is best known for Ulysses (1922), a landmark work in which the episodes of Homer's Odyssey are paralleled in a variety of literary styles, most famously stream of consciousness."", 'Other well-known works are the short-story collection Dubliners (1914), and the novels A Portrait of the Artist as a Young Man (1916) and Finnegans Wake (1939).', 'His other writings include three books of poetry, a play, his published letters and occasional journalism.']"
Tess_Gerritsen,writer,A,Chinese-American novelist,"['Tess Gerritsen (born June 12, 1953) is the pseudonym of Terry Gerritsen, an American novelist and retired general physician.', 'Tess Gerritsen is the child of a Chinese immigrant and a Chinese-American seafood chef.', 'While growing up in San Diego, California, Gerritsen often dreamt of writing her own Nancy Drew novels.', 'Her first name is Terry; she decided to feminize it when she was a writer of romance novels.', 'Although she longed to be a writer, her family had reservations about the sustainability of a writing career, prompting Gerritsen to choose a career in medicine.']"
Li_Bai,writer,A,Chinese poet,"['Li Bai (Chinese: 李白; pinyin: Lǐ Bái; Pe̍h-ōe-jī: Lí Pe̍k, 701–762), also known as Li Bo, courtesy name Taibai (Chinese: 太白), art name Qinglian Jushi (Chinese: 青蓮居士), was a Chinese poet acclaimed from his own day to the present as a genius and a romantic figure who took traditional poetic forms to new heights.', 'He and his friend Du Fu (712–770) were the two most prominent figures in the flourishing of Chinese poetry in the Tang dynasty, which is often called the ""Golden Age of Chinese Poetry"".', 'The expression ""Three Wonders"" denotes Li Bai\'s poetry, Pei Min\'s swordplay, and Zhang Xu\'s calligraphy.Around a thousand poems attributed to him are extant.', 'His poems have been collected into the most important Tang dynasty poetry anthology Heyue yingling ji, compiled in 753 by Yin Fan, and thirty-four of his poems are included in the anthology Three Hundred Tang Poems, which was first published in the 18th century.', 'In the same century, translations of his poems began to appear in Europe.']"
Baron_d'Holbach,writer,A,"French-German author, philosopher, encyclopedist","[""Paul-Henri Thiry, Baron d'Holbach (French: [dɔlbak]) (8 December 1723 – 21 January 1789), was a French-German philosopher, encyclopedist, writer, and prominent figure in the French Enlightenment."", 'He was born Paul Heinrich Dietrich in Edesheim, near Landau in the Rhenish Palatinate, but lived and worked mainly in Paris, where he kept a salon.', 'He was well known for his atheism and for his voluminous writings against religion, the most famous of them being The System of Nature (1770).', ""Sources differ regarding d'Holbach's dates of birth and death."", 'His exact birthday is unknown, although records show that he was baptised on 8 December 1723.']"
