person,text,processed_text,description,processed_description,type,category
Bruce_Springsteen,"['Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American singer, songwriter, and musician who is both a solo artist and the leader of the E Street Band.', 'Originally from the Jersey Shore, he received critical acclaim for his early 1970s albums and attained worldwide fame upon the release of Born to Run in 1975.', 'During a career that has spanned five decades, Springsteen has become known for his poetic, socially conscious lyrics and energetic stage performances, sometimes lasting up to four hours in length.', 'He has been nicknamed ""The Boss"".', 'He has recorded both rock albums and folk-oriented works, and his lyrics often address the experiences and struggles of working-class Americans.']","[ 'bruce frederick joseph springsteen ( born september 23 , 1949 ) american singer , songwriter , musician solo artist leader e street band . ' , 'originally jersey shore , received critical acclaim early 1970s albums attained worldwide fame upon release born run 1975 . ' , 'during career spanned five decades , springsteen become known poetic , socially conscious lyrics energetic stage performances , sometimes lasting four hours length . ' , 'he nicknamed `` boss '' . ' , 'he recorded rock albums folk-oriented works , lyrics often address experiences struggles working-class americans . ' ]","American musician, singer, and composer","american musician , singer , composer",A,singer
Leonard_Cohen,"['Leonard Norman Cohen  (September 21, 1934 – November 7, 2016) was a Canadian singer-songwriter, poet, and novelist.', 'His work explored religion, politics, isolation, depression, sexuality, loss, death and romantic relationships.', 'Cohen was inducted into the Canadian Music Hall of Fame, the Canadian Songwriters Hall of Fame, and the Rock and Roll Hall of Fame.', ""He was invested as a Companion of the Order of Canada, the nation's highest civilian honour."", 'In 2011, Cohen received one of the Prince of Asturias Awards for literature and the ninth Glenn Gould Prize.']","[ 'leonard norman cohen ( september 21 , 1934 – november 7 , 2016 ) canadian singer-songwriter , poet , novelist . ' , 'his work explored religion , politics , isolation , depression , sexuality , loss , death romantic relationships . ' , 'cohen inducted canadian music hall fame , canadian songwriters hall fame , rock roll hall fame . ' , `` invested companion order canada , nation 's highest civilian honour . `` , 'in 2011 , cohen received one prince asturias awards literature ninth glenn gould prize . ' ]",Canadian poet and singer-songwriter,canadian poet singer-songwriter,A,singer
Alexandra_Stan,"['Alexandra Ioana Stan (born 10 June 1989) is a Romanian singer-songwriter.', 'Born in the city of Constanța, she made her worldwide breakthrough with the 2010 single ""Mr. Saxobeat"", which was written and produced by Marcel Prodan and Andrei Nemirschi.', 'They had previously discovered Stan at a karaoke bar in 2009 and signed her to their label, Maan Records.', '""Mr. Saxobeat"" had followed the singer\'s debut single, ""Lollipop (Param Pam Pam)"" (2009), which brought her moderate fame in Romania.', '""Mr. Saxobeat"" quickly achieved commercial success locally and abroad, reaching number one in several countries and gathering various certifications.']","[ 'alexandra ioana stan ( born 10 june 1989 ) romanian singer-songwriter . ' , 'born city constanța , made worldwide breakthrough 2010 single `` mr. saxobeat '' , written produced marcel prodan andrei nemirschi . ' , 'they previously discovered stan karaoke bar 2009 signed label , maan records . ' , ' '' mr. saxobeat '' followed singer\ 's debut single , `` lollipop ( param pam pam ) '' ( 2009 ) , brought moderate fame romania . ' , ' '' mr. saxobeat '' quickly achieved commercial success locally abroad , reaching number one several countries gathering various certifications . ' ]",Romanian singer-songwriter,romanian singer-songwriter,A,singer
Janis_Joplin,"['Janis Lyn Joplin (January 19, 1943 – October 4, 1970) was an American singer-songwriter who sang rock, soul and blues music.', 'One of the most successful and widely known rock stars of her era, she was noted for her powerful mezzo-soprano vocals and ""electric"" stage presence.In 1967, Joplin rose to fame following an appearance at Monterey Pop Festival, where she was the lead singer of the then little-known San Francisco psychedelic rock band Big Brother and the Holding Company.', 'After releasing two albums with the band, she left Big Brother to continue as a solo artist with her own backing groups, first the Kozmic Blues Band and then the Full Tilt Boogie Band.', 'She appeared at the Woodstock festival and the Festival Express train tour.', 'Five singles by Joplin reached the Billboard Hot 100, including a cover of the Kris Kristofferson song ""Me and Bobby McGee"", which reached number one in March 1971.']","[ 'janis lyn joplin ( january 19 , 1943 – october 4 , 1970 ) american singer-songwriter sang rock , soul blues music . ' , 'one successful widely known rock stars era , noted powerful mezzo-soprano vocals `` electric '' stage presence.in 1967 , joplin rose fame following appearance monterey pop festival , lead singer little-known san francisco psychedelic rock band big brother holding company . ' , 'after releasing two albums band , left big brother continue solo artist backing groups , first kozmic blues band full tilt boogie band . ' , 'she appeared woodstock festival festival express train tour . ' , 'five singles joplin reached billboard hot 100 , including cover kris kristofferson song `` bobby mcgee '' , reached number one march 1971 . ' ]",American singer and songwriter,american singer songwriter,A,singer
Cyndi_Lauper,"['Cynthia Ann Stephanie Lauper (born June 22, 1953) is an American singer, songwriter, actress and activist.', 'Her career has spanned over 40 years.', 'Her album She\'s So Unusual (1983) was the first debut album by a female artist to achieve four top-five hits on the Billboard Hot 100—""Girls Just Want to Have Fun"", ""Time After Time"", ""She Bop"", and ""All Through the Night""—and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985.', 'Her success continued with the soundtrack for the motion picture The Goonies and her second record True Colors (1986).', 'This album included the number one single ""True Colors"" and ""Change of Heart"", which peaked at number three.']","[ 'cynthia ann stephanie lauper ( born june 22 , 1953 ) american singer , songwriter , actress activist . ' , 'her career spanned 40 years . ' , 'her album she\ 's unusual ( 1983 ) first debut album female artist achieve four top-five hits billboard hot 100— '' girls want fun '' , `` time time '' , `` bop '' , `` night '' —and earned lauper best new artist award 27th grammy awards 1985 . ' , 'her success continued soundtrack motion picture goonies second record true colors ( 1986 ) . ' , 'this album included number one single `` true colors '' `` change heart '' , peaked number three . ' ]","American recording artist; singer, songwriter, actress and activist","american recording artist ; singer , songwriter , actress activist",A,singer
Édith_Piaf,"[""Édith Piaf (UK: , US: ; French: [edit pjaf] (listen); born Édith Giovanna Gassion, French: [edit dʒɔvana ɡasjɔ̃]; 19 December 1915 – 10 October 1963) was a French singer-songwriter, cabaret performer and film actress noted as France's national chanteuse and one of the country's most widely known international stars.Piaf's music was often autobiographical, and she specialized in chanson and torch ballads about love, loss and sorrow."", 'Her most widely known songs include ""La Vie en rose"" (1946), ""Non, je ne regrette rien"" (1960), ""Hymne à l\'amour"" (1949), ""Milord"" (1959), ""La Foule"" (1957), ""L\'Accordéoniste"" (1940), and ""Padam, padam..."" (1951).', ""Since her death in 1963, several biographies and films have studied her life, including 2007's Academy Award-winning La Vie en rose."", 'Piaf has become one of the most celebrated performers of the 20th century.', ""Despite numerous biographies, much of Piaf's life is unknown.""]","[ `` édith piaf ( uk : , us : ; french : [ edit pjaf ] ( listen ) ; born édith giovanna gassion , french : [ edit dʒɔvana ɡasjɔ̃ ] ; 19 december 1915 – 10 october 1963 ) french singer-songwriter , cabaret performer film actress noted france 's national chanteuse one country 's widely known international stars.piaf 's music often autobiographical , specialized chanson torch ballads love , loss sorrow . `` , 'her widely known songs include `` la vie en rose '' ( 1946 ) , `` non , je ne regrette rien '' ( 1960 ) , `` hymne à l\'amour '' ( 1949 ) , `` milord '' ( 1959 ) , `` la foule '' ( 1957 ) , `` l\'accordéoniste '' ( 1940 ) , `` padam , padam ... '' ( 1951 ) . ' , `` since death 1963 , several biographies films studied life , including 2007 's academy award-winning la vie en rose . `` , 'piaf become one celebrated performers 20th century . ' , `` despite numerous biographies , much piaf 's life unknown . '' ]",French singer,french singer,A,singer
Jacques_Brel,"['Jacques Romain Georges Brel (French: [ʒɑk ʁɔmɛ̃ ʒɔʁʒ bʁɛl], listen ; 8 April 1929 – 9 October 1978) was a Belgian singer, songwriter, actor and director who composed and performed literate, thoughtful, and theatrical songs that generated a large, devoted following—initially in Belgium and France, later throughout the world.', 'He is considered a master of the modern chanson.', 'Although he recorded most of his songs in French and occasionally in Dutch, he became an influence on English-speaking songwriters and performers, such as Scott Walker, David Bowie, Alex Harvey, Marc Almond and Rod McKuen.', 'English translations of his songs were recorded by many performers, including: Bowie; Walker, Ray Charles; Judy Collins; John Denver; The Kingston Trio; Nina Simone; Shirley Bassey; Frank Sinatra and Andy Williams.Brel was a successful actor, appearing in 10 films.', ""He directed two films, one of which, Le Far West, was nominated for the Palme d'Or at the Cannes Film Festival in 1973.""]","[ 'jacques romain georges brel ( french : [ ʒɑk ʁɔmɛ̃ ʒɔʁʒ bʁɛl ] , listen ; 8 april 1929 – 9 october 1978 ) belgian singer , songwriter , actor director composed performed literate , thoughtful , theatrical songs generated large , devoted following—initially belgium france , later throughout world . ' , 'he considered master modern chanson . ' , 'although recorded songs french occasionally dutch , became influence english-speaking songwriters performers , scott walker , david bowie , alex harvey , marc almond rod mckuen . ' , 'english translations songs recorded many performers , including : bowie ; walker , ray charles ; judy collins ; john denver ; kingston trio ; nina simone ; shirley bassey ; frank sinatra andy williams.brel successful actor , appearing 10 films . ' , `` directed two films , one , le far west , nominated palme d'or cannes film festival 1973 . '' ]",Belgian singer-songwriter,belgian singer-songwriter,A,singer
Serge_Gainsbourg,"['Serge Gainsbourg (French: [sɛʁʒ ɡɛ̃sbuʁ] (listen); born Lucien Ginsburg; 2 April 1928 – 2 March 1991) was a French musician, singer-songwriter, author, filmmaker and actor.', 'Regarded as the most important figure in French pop whilst alive, he was renowned for often provocative and scandalous releases which caused uproar in France, dividing its public opinion, as well as his diverse artistic output, which ranged from his early work in jazz, chanson, and yé-yé to later efforts in rock, funk, reggae, and electronica.', ""Gainsbourg's varied musical style and individuality make him difficult to categorize, although his legacy has been firmly established and he is often regarded as one of the world's most influential popular musicians.His lyrical works incorporated wordplay, with humorous, bizarre, provocative, sexual, satirical or subversive overtones, including sophisticated rhymes, mondegreen, onomatopoeia, spoonerism, dysphemism, paraprosdokian, and pun."", 'Gainsbourg wrote over 550 songs, which have been covered more than 1,000 times by a range of artists.', ""Since his death from a second heart attack in 1991, Gainsbourg's music has reached legendary stature in France, and he is regarded as one of France's greatest ever musicians and one of the country's most popular and endeared public figures.""]","[ 'serge gainsbourg ( french : [ sɛʁʒ ɡɛ̃sbuʁ ] ( listen ) ; born lucien ginsburg ; 2 april 1928 – 2 march 1991 ) french musician , singer-songwriter , author , filmmaker actor . ' , 'regarded important figure french pop whilst alive , renowned often provocative scandalous releases caused uproar france , dividing public opinion , well diverse artistic output , ranged early work jazz , chanson , yé-yé later efforts rock , funk , reggae , electronica . ' , `` gainsbourg 's varied musical style individuality make difficult categorize , although legacy firmly established often regarded one world 's influential popular musicians.his lyrical works incorporated wordplay , humorous , bizarre , provocative , sexual , satirical subversive overtones , including sophisticated rhymes , mondegreen , onomatopoeia , spoonerism , dysphemism , paraprosdokian , pun . `` , 'gainsbourg wrote 550 songs , covered 1,000 times range artists . ' , `` since death second heart attack 1991 , gainsbourg 's music reached legendary stature france , regarded one france 's greatest ever musicians one country 's popular endeared public figures . '' ]","French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)","french singer , songwriter , pianist , film composer , poet , painter , screenwriter , writer , actor director ( 1928-1991 )",A,singer
Renaud,"['Renaud Pierre Manuel Séchan  (French pronunciation: \u200b[ʁəno pjɛʁ manɥɛl seʃɑ̃]), known as Renaud (, French: [ʁəno] (listen); born 11 May 1952), is a popular French singer, songwriter and actor.', ""His characteristically 'broken' voice makes for a very distinctive vocal style."", 'Several of his songs are popular classics in France, including the sea tale ""Dès que le vent soufflera"", the irreverent ""Laisse béton"", the ballad ""Morgane de toi"" and the nostalgic ""Mistral gagnant"".', 'However, with the exception of a recording of ""Miss Maggie"" in English and a franglais recording of ""It is not because you are"", his work is little known outside the French-speaking world.', 'Fresh out of school, Renaud was determined to become an actor.']","[ 'renaud pierre manuel séchan ( french pronunciation : \u200b [ ʁəno pjɛʁ manɥɛl seʃɑ̃ ] ) , known renaud ( , french : [ ʁəno ] ( listen ) ; born 11 may 1952 ) , popular french singer , songwriter actor . ' , `` characteristically 'broken ' voice makes distinctive vocal style . `` , 'several songs popular classics france , including sea tale `` dès que le vent soufflera '' , irreverent `` laisse béton '' , ballad `` morgane de toi '' nostalgic `` mistral gagnant '' . ' , 'however , exception recording `` miss maggie '' english franglais recording `` '' , work little known outside french-speaking world . ' , 'fresh school , renaud determined become actor . ' ]","French singer, songwriter and actor","french singer , songwriter actor",A,singer
Madonna,"['Madonna Louise Ciccone (; Italian: [tʃikˈkoːne]; born August 16, 1958) is an American singer, songwriter, and actress.', 'Referred to as the ""Queen of Pop"", she is regarded as one of the most significant figures in popular culture.', 'Madonna is noted for her continual reinvention and versatility in music production, songwriting, and visual presentation.', 'She is also known for pushing the boundaries of artistic expression in mainstream music while remaining completely in charge of every aspect of her career.', 'Her works, which incorporate social, political, sexual, and religious themes, have generated both critical acclaim and controversy.']","[ 'madonna louise ciccone ( ; italian : [ tʃikˈkoːne ] ; born august 16 , 1958 ) american singer , songwriter , actress . ' , 'referred `` queen pop '' , regarded one significant figures popular culture . ' , 'madonna noted continual reinvention versatility music production , songwriting , visual presentation . ' , 'she also known pushing boundaries artistic expression mainstream music remaining completely charge every aspect career . ' , 'her works , incorporate social , political , sexual , religious themes , generated critical acclaim controversy . ' ]",American singer and songwriter,american singer songwriter,A,singer
Ella_Fitzgerald,"['Ella Jane Fitzgerald  (April 25, 1917 – June 15, 1996) was an American jazz singer, sometimes referred to as the First Lady of Song, Queen of Jazz, and Lady Ella.', 'She was noted for her purity of tone, impeccable diction, phrasing, timing, intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.', 'After a tumultuous adolescence, Fitzgerald found stability in musical success with the Chick Webb Orchestra, performing across the country but most often associated with the Savoy Ballroom in Harlem.', 'Her rendition of the nursery rhyme ""A-Tisket, A-Tasket"" helped boost both her and Webb to national fame.', 'After taking over the band when Webb died, Fitzgerald left it behind in 1942 to start her solo career.']","[ 'ella jane fitzgerald ( april 25 , 1917 – june 15 , 1996 ) american jazz singer , sometimes referred first lady song , queen jazz , lady ella . ' , 'she noted purity tone , impeccable diction , phrasing , timing , intonation , `` horn-like '' improvisational ability , particularly scat singing . ' , 'after tumultuous adolescence , fitzgerald found stability musical success chick webb orchestra , performing across country often associated savoy ballroom harlem . ' , 'her rendition nursery rhyme `` a-tisket , a-tasket '' helped boost webb national fame . ' , 'after taking band webb died , fitzgerald left behind 1942 start solo career . ' ]",American jazz singer,american jazz singer,A,singer
Louis_Armstrong,"['Louis Daniel Armstrong (August 4, 1901 – July 6, 1971), nicknamed ""Satchmo"", ""Satch"", and ""Pops"", was an American trumpeter and vocalist who was among the most influential figures in jazz.', 'His career spanned five decades and different eras in the history of jazz.Armstrong was born and raised in New Orleans.', 'Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance.', 'Around 1922, he followed his mentor, Joe ""King"" Oliver, to Chicago to play in the Creole Jazz Band.', 'In Chicago, he spent time with other popular jazz musicians, reconnecting with his friend Bix Beiderbecke and spending time with Hoagy Carmichael and Lil Hardin.']","[ 'louis daniel armstrong ( august 4 , 1901 – july 6 , 1971 ) , nicknamed `` satchmo '' , `` satch '' , `` pops '' , american trumpeter vocalist among influential figures jazz . ' , 'his career spanned five decades different eras history jazz.armstrong born raised new orleans . ' , 'coming prominence 1920s inventive trumpet cornet player , armstrong foundational influence jazz , shifting focus music collective improvisation solo performance . ' , 'around 1922 , followed mentor , joe `` king '' oliver , chicago play creole jazz band . ' , 'in chicago , spent time popular jazz musicians , reconnecting friend bix beiderbecke spending time hoagy carmichael lil hardin . ' ]","American jazz trumpeter, composer and singer","american jazz trumpeter , composer singer",A,singer
